episode,step,total_reward
1000, 25408, -24.748827
2000, 52660, -8.083291
3000, 81885, 12.442759
4000, 113217, 18.504119
5000, 146916, 26.441418
6000, 182997, 37.802357
7000, 221756, 54.163931
8000, 263306, 60.915181
9000, 307869, 28.440595
10000, 355637, 29.435125
11000, 406940, 31.878950
12000, 461923, 29.979619
13000, 520889, 43.614634
14000, 584098, 46.154128
15000, 651925, 46.987532
16000, 724634, 43.425174
17000, 802600, 50.940107
18000, 886188, 74.413715
19000, 975835, 106.525748
20000, 1071923, 140.663605
21000, 1174970, 183.451070
22000, 1285436, 250.211841
23000, 1403866, 250.861028
24000, 1530832, 249.780067
25000, 1666959, 332.630775
26000, 1812882, 791.521437
27000, 1969314, 784.745147
28000, 2137004, 230.373509
29000, 2316778, 167.399846
30000, 2509476, 230.225809
31000, 2709475, 278.097408
32000, 2909475, 250.431615
33000, 3109475, 295.345132
34000, 3309475, 309.912695
35000, 3509475, 338.171812
36000, 3709475, 307.753295
37000, 3909475, 261.056616
38000, 4109475, 240.145496
39000, 4309475, 330.543234
40000, 4509475, 384.979403
